episode,phase,ep_reward,ep_length,failure,n_repairs,n_replaces,epsilon,eval_catast,eval_mean_cost
182,train,-524.6,96,1,0,37,0.94702,,
183,train,-706.6,139,1,0,45,0.94674,,
184,train,-1022.6,179,1,0,49,0.94646,,
185,train,-751.4,129,1,0,44,0.94618,,
186,train,-241.05,25,1,0,10,0.94589,,
187,train,-421.4,63,1,0,24,0.94561,,
188,train,-1788.813,345,1,0,123,0.94533,,
189,train,-952.4,168,1,0,51,0.94505,,
190,train,-703.9,132,1,0,39,0.94477,,
191,train,-109.1,1,1,0,0,0.94449,,
192,train,-758.293,139,1,0,39,0.9442,,
193,train,-14.5,3,0,2,0,0.94392,,
194,train,-250.3,34,1,0,8,0.94364,,
195,train,-780.2,151,1,0,56,0.94336,,
196,train,-698.2,127,1,0,37,0.94308,,
197,train,-563.246,101,1,0,34,0.9428,,
198,train,-1840.0,400,0,2,118,0.94252,,
199,train,-385.452,57,1,0,21,0.94224,,
200,train,-575.636,100,1,0,34,0.94196,,
201,train,-1853.346,400,0,0,118,0.94168,,
202,train,-1901.164,400,0,0,128,0.9414,,
203,train,-264.2,39,1,0,10,0.94111,,
204,train,-1057.558,213,1,0,59,0.94083,,
205,train,-1465.509,296,1,0,89,0.94055,,
206,train,-2057.708,400,0,0,135,0.94027,,
207,train,-109.1,1,1,0,0,0.93999,,
208,train,-1354.078,257,1,0,82,0.93971,,
209,train,-603.5,106,1,0,33,0.93943,,
210,train,-109.092,1,1,0,0,0.93915,,
211,train,-1954.607,400,0,0,128,0.93887,,
212,train,-1951.283,400,0,3,124,0.9386,,
213,train,-705.069,127,1,0,37,0.93832,,
214,train,-1671.788,326,1,0,95,0.93804,,
215,train,-1355.39,266,1,0,71,0.93776,,
216,train,-1185.663,231,1,0,66,0.93748,,
217,train,-1259.822,234,1,0,83,0.9372,,
218,train,-124.5,8,1,0,3,0.93692,,
219,train,-1465.5,321,1,0,94,0.93664,,
220,train,-547.8,92,1,0,36,0.93636,,
221,train,-1779.761,400,0,0,115,0.93608,,
222,train,-1949.043,400,0,1,126,0.9358,,
223,train,-1900.1,346,1,0,111,0.93553,,
224,train,-1292.665,262,1,0,72,0.93525,,
225,train,-1934.2,400,0,0,123,0.93497,,
226,train,-789.975,148,1,0,43,0.93469,,
227,train,-109.1,1,1,0,0,0.93441,,
228,train,-578.552,104,1,0,32,0.93413,,
229,train,-525.2,91,1,0,32,0.93386,,
230,train,-1541.598,300,1,0,82,0.93358,,
231,train,-1587.5,336,1,0,109,0.9333,,
232,train,-1815.747,400,0,0,130,0.93302,,
233,train,-148.8,10,1,0,4,0.93275,,
234,train,-1923.145,382,1,0,116,0.93247,,
235,train,-1916.287,400,0,0,116,0.93219,,
236,train,-259.9,36,1,0,12,0.93191,,
237,train,-282.3,38,1,0,15,0.93164,,
238,train,-686.4,124,1,0,35,0.93136,,
239,train,-680.8,128,1,0,41,0.93108,,
240,train,-1968.388,400,0,4,121,0.9308,,
241,train,-509.505,79,1,0,22,0.93053,,
242,train,-1569.2,297,1,0,102,0.93025,,
243,train,-1444.28,310,1,0,82,0.92997,,
244,train,-929.5,182,1,0,63,0.9297,,
245,train,-1474.7,295,1,0,86,0.92942,,
246,train,-1126.9,221,1,0,74,0.92914,,
247,train,-1845.545,400,0,1,128,0.92887,,
248,train,-1974.905,400,0,1,152,0.92859,,
249,train,-1260.5,259,1,0,89,0.92832,,
250,train,-1850.933,387,1,0,118,0.92804,,
251,train,-1027.361,198,1,0,59,0.92776,,
252,train,-1798.9,400,0,1,123,0.92749,,
253,train,-1369.846,247,1,0,84,0.92721,,
254,train,-2028.892,400,0,2,128,0.92694,,
255,train,-846.256,158,1,0,56,0.92666,,
256,train,-664.0,111,1,0,32,0.92639,,
257,train,-2009.48,384,1,0,115,0.92611,,
258,train,-1688.348,331,1,0,103,0.92583,,
259,train,-1795.898,400,0,0,111,0.92556,,
260,train,-1857.918,400,0,0,127,0.92528,,
261,train,-1402.046,302,1,0,84,0.92501,,
262,train,-720.4,137,1,0,42,0.92473,,
263,train,-405.0,67,1,0,21,0.92446,,
264,train,-584.3,108,1,0,34,0.92418,,
265,train,-164.0,12,1,0,1,0.92391,,
266,train,-2004.2,374,1,0,120,0.92364,,
267,train,-2103.456,389,1,0,115,0.92336,,
268,train,-1529.7,285,1,0,99,0.92309,,
269,train,-974.818,178,1,0,50,0.92281,,
270,train,-328.0,53,1,0,17,0.92254,,
271,train,-1107.9,193,1,0,65,0.92226,,
272,train,-500.1,72,1,0,31,0.92199,,
273,train,-1598.02,323,1,0,112,0.92172,,
274,train,-1455.7,282,1,0,92,0.92144,,
275,train,-880.9,152,1,0,55,0.92117,,
276,train,-646.446,127,1,0,40,0.92089,,
277,train,-1505.761,322,1,0,85,0.92062,,
278,train,-1806.0,400,0,2,134,0.92035,,
279,train,-1850.232,400,0,1,125,0.92007,,
280,train,-136.8,8,1,0,3,0.9198,,
281,train,-1990.049,400,0,0,132,0.91953,,
282,train,-953.6,165,1,0,55,0.91925,,
283,train,-1820.023,400,0,0,114,0.91898,,
284,train,-1353.345,269,1,0,80,0.91871,,
285,train,-1141.303,224,1,0,75,0.91844,,
286,train,-556.1,92,1,0,32,0.91816,,
287,train,-508.8,81,1,0,33,0.91789,,
288,train,-1879.0,400,0,4,142,0.91762,,
289,train,-331.2,49,1,0,20,0.91735,,
290,train,-505.499,89,1,0,26,0.91707,,
291,train,-1571.3,320,1,0,101,0.9168,,
292,train,-660.899,116,1,0,47,0.91653,,
293,train,-1863.433,400,0,0,124,0.91626,,
294,train,-1109.7,218,1,0,64,0.91598,,
295,train,-541.598,98,1,0,32,0.91571,,
296,train,-1821.393,400,0,1,116,0.91544,,
297,train,-882.819,169,1,0,41,0.91517,,
298,train,-240.892,29,1,0,10,0.9149,,
299,train,-1141.378,225,1,0,74,0.91463,,
300,train,-1103.352,211,1,0,59,0.91435,,
301,train,-887.798,158,1,0,60,0.91408,,
302,train,-1667.8,322,1,0,98,0.91381,,
303,train,-1020.529,188,1,0,54,0.91354,,
304,train,-1909.9,400,0,0,123,0.91327,,
305,train,-806.854,149,1,0,52,0.913,,
306,train,-396.5,76,1,0,21,0.91273,,
307,train,-436.052,71,1,0,28,0.91246,,
308,train,-1891.752,400,0,0,120,0.91218,,
309,train,-589.9,92,1,0,19,0.91191,,
310,train,-1969.0,400,0,1,117,0.91164,,
311,train,-1853.946,400,0,2,135,0.91137,,
312,train,-151.5,9,1,0,5,0.9111,,
313,train,-1900.991,400,0,8,115,0.91083,,
314,train,-1641.766,400,0,2,101,0.91056,,
315,train,-238.6,25,1,0,11,0.91029,,
316,train,-1886.354,354,1,0,100,0.91002,,
317,train,-388.4,70,1,0,20,0.90975,,
318,train,-1853.818,400,0,0,114,0.90948,,
319,train,-1452.812,305,1,0,103,0.90921,,
320,train,-721.7,135,1,0,35,0.90894,,
321,train,-1251.2,266,1,0,76,0.90867,,
322,train,-1652.842,324,1,0,92,0.9084,,
323,train,-256.1,32,1,0,14,0.90813,,
324,train,-368.3,55,1,0,18,0.90786,,
325,train,-1933.688,400,0,1,127,0.9076,,
326,train,-656.918,115,1,0,41,0.90733,,
327,train,-587.8,110,1,0,34,0.90706,,
328,train,-1559.553,285,1,0,85,0.90679,,
329,train,-1822.389,400,0,1,117,0.90652,,
330,train,-999.0,180,1,0,69,0.90625,,
331,train,-1182.1,240,1,0,76,0.90598,,
332,train,-517.9,97,1,0,29,0.90571,,
333,train,-1911.388,400,0,0,126,0.90544,,
334,train,-1158.635,246,1,0,68,0.90518,,
335,train,-322.789,45,1,0,12,0.90491,,
336,train,-274.287,32,1,0,14,0.90464,,
337,train,-308.2,39,1,0,9,0.90437,,
338,train,-1346.295,270,1,0,93,0.9041,,
339,train,-589.846,88,1,0,25,0.90384,,
340,train,-109.1,1,1,0,0,0.90357,,
341,train,-109.1,1,1,0,0,0.9033,,
342,train,-975.643,181,1,0,61,0.90303,,
343,train,-564.0,109,1,0,33,0.90276,,
344,train,-466.37,72,1,0,26,0.9025,,
345,train,-264.838,33,1,0,13,0.90223,,
346,train,-143.1,7,1,0,4,0.90196,,
347,train,-717.189,142,1,0,39,0.90169,,
348,train,-473.398,75,1,0,24,0.90143,,
349,train,-748.5,137,1,0,36,0.90116,,
350,train,-1125.898,228,1,0,62,0.90089,,
351,train,-847.271,157,1,0,47,0.90063,,
352,train,-1267.5,280,1,0,82,0.90036,,
353,train,-1873.657,400,0,0,129,0.90009,,
354,train,-282.9,47,1,0,9,0.89983,,
355,train,-1844.75,400,0,3,119,0.89956,,
356,train,-108.0,1,1,0,1,0.89929,,
357,train,-274.7,39,1,0,11,0.89903,,
358,train,-364.1,59,1,0,21,0.89876,,
359,train,-949.5,198,1,0,54,0.89849,,
360,train,-1796.1,400,0,2,112,0.89823,,
361,train,-672.6,128,1,0,33,0.89796,,
362,train,-993.346,196,1,0,71,0.8977,,
363,train,-109.1,1,1,0,0,0.89743,,
364,train,-1088.188,217,1,0,69,0.89716,,
365,train,-372.7,64,1,0,17,0.8969,,
366,train,-1400.434,270,1,0,84,0.89663,,
367,train,-778.866,160,1,0,50,0.89637,,
368,train,-526.3,98,1,0,24,0.8961,,
369,train,-521.374,98,1,0,25,0.89584,,
370,train,-377.4,51,1,0,20,0.89557,,
371,train,-195.1,20,1,0,6,0.89531,,
372,train,-441.0,69,1,0,26,0.89504,,
373,train,-617.4,105,1,0,37,0.89478,,
374,train,-1017.8,199,1,0,61,0.89451,,
375,train,-313.456,45,1,0,20,0.89425,,
376,train,-1529.599,318,1,0,87,0.89398,,
377,train,-725.344,135,1,0,44,0.89372,,
378,train,-109.1,1,1,0,0,0.89345,,
379,train,-1007.252,200,1,0,56,0.89319,,
380,train,-1395.724,265,1,0,83,0.89292,,
381,train,-751.5,133,1,0,40,0.89266,,
382,train,-1934.9,400,0,5,134,0.8924,,
383,train,-1884.225,400,0,0,111,0.89213,,
384,train,-885.8,153,1,0,54,0.89187,,
385,train,-1082.0,215,1,0,63,0.8916,,
386,train,-560.6,100,1,0,27,0.89134,,
387,train,-1269.999,275,1,0,85,0.89108,,
388,train,-828.448,151,1,0,52,0.89081,,
389,train,-293.051,45,1,0,14,0.89055,,
390,train,-429.7,59,1,0,21,0.89029,,
391,train,-593.952,110,1,0,30,0.89002,,
392,train,-109.1,1,1,0,0,0.88976,,
393,train,-512.5,100,1,0,28,0.8895,,
394,train,-1621.174,400,0,0,108,0.88923,,
395,train,-160.843,11,1,0,6,0.88897,,
396,train,-1441.9,304,1,0,92,0.88871,,
397,train,-1985.255,400,1,0,110,0.88844,,
398,train,-1942.147,400,0,1,113,0.88818,,
399,train,-1822.35,356,1,0,110,0.88792,,
400,train,-186.0,17,1,0,6,0.88766,,
400,eval,,,,,,0.88766,0.15,345.802
401,train,-1546.219,352,1,0,97,0.88739,,
402,train,-1807.964,400,0,3,118,0.88713,,
403,train,-512.381,90,1,0,26,0.88687,,
404,train,-1903.575,400,0,0,106,0.88661,,
405,train,-1193.469,263,1,0,72,0.88634,,
406,train,-1018.256,204,1,0,67,0.88608,,
407,train,-378.1,73,1,0,20,0.88582,,
408,train,-573.4,99,1,0,30,0.88556,,
409,train,-774.561,132,1,0,44,0.8853,,
410,train,-1873.368,400,0,4,123,0.88503,,
411,train,-889.639,174,1,0,60,0.88477,,
412,train,-109.1,1,1,0,0,0.88451,,
413,train,-1012.1,218,1,0,57,0.88425,,
414,train,-137.1,7,1,0,3,0.88399,,
415,train,-946.985,191,1,0,64,0.88373,,
416,train,-396.6,55,1,0,8,0.88347,,
417,train,-1385.5,301,1,0,83,0.88321,,
418,train,-354.122,48,1,0,18,0.88294,,
419,train,-1298.711,255,1,0,82,0.88268,,
420,train,-1732.369,400,0,0,120,0.88242,,
421,train,-472.1,77,1,0,33,0.88216,,
422,train,-788.4,170,1,0,44,0.8819,,
423,train,-284.5,35,1,0,16,0.88164,,
424,train,-442.2,79,1,0,25,0.88138,,
425,train,-417.911,59,1,0,22,0.88112,,
426,train,-213.3,28,1,0,10,0.88086,,
427,train,-405.8,72,1,0,15,0.8806,,
428,train,-1808.0,400,0,3,112,0.88034,,
429,train,-1086.6,238,1,0,73,0.88008,,
430,train,-411.478,84,1,0,24,0.87982,,
431,train,-519.905,95,1,0,27,0.87956,,
432,train,-1986.4,400,0,3,120,0.8793,,
433,train,-1809.515,400,0,3,117,0.87904,,
434,train,-1045.889,179,1,0,49,0.87878,,
435,train,-1072.6,230,1,0,67,0.87852,,
436,train,-284.663,35,1,0,13,0.87826,,
437,train,-1436.2,293,1,0,95,0.878,,
438,train,-1751.1,400,0,2,129,0.87774,,
439,train,-500.7,69,1,0,27,0.87748,,
440,train,-362.4,60,1,0,19,0.87722,,
441,train,-109.1,1,1,0,0,0.87696,,
442,train,-987.2,200,1,0,65,0.87671,,
443,train,-109.1,1,1,0,0,0.87645,,
444,train,-1494.2,322,1,0,85,0.87619,,
445,train,-785.3,164,1,0,44,0.87593,,
446,train,-651.111,128,1,0,36,0.87567,,
447,train,-278.9,48,1,0,16,0.87541,,
448,train,-1783.353,400,0,0,125,0.87515,,
449,train,-816.102,172,1,0,45,0.8749,,
450,train,-651.8,137,1,0,35,0.87464,,
451,train,-1370.569,299,1,0,86,0.87438,,
452,train,-749.645,138,1,0,41,0.87412,,
453,train,-271.8,32,1,0,14,0.87386,,
454,train,-1833.286,400,0,1,124,0.87361,,
455,train,-344.7,57,1,0,21,0.87335,,
456,train,-1797.7,400,0,0,123,0.87309,,
457,train,-137.5,5,1,0,4,0.87283,,
458,train,-1828.565,400,0,0,107,0.87257,,
459,train,-1855.073,400,0,0,129,0.87232,,
460,train,-697.446,124,1,0,47,0.87206,,
461,train,-820.358,161,1,0,55,0.8718,,
462,train,-261.4,38,1,0,7,0.87154,,
463,train,-1615.5,347,1,0,111,0.87129,,
464,train,-1806.7,400,0,1,124,0.87103,,
465,train,-1743.202,377,1,0,108,0.87077,,
466,train,-332.0,62,1,0,13,0.87052,,
467,train,-325.454,55,1,0,13,0.87026,,
468,train,-689.598,135,1,0,39,0.87,,
469,train,-124.2,5,1,0,3,0.86975,,
470,train,-108.1,2,1,0,1,0.86949,,
471,train,-1726.6,356,1,0,112,0.86923,,
472,train,-297.354,37,1,0,9,0.86898,,
